product_info_id,product_code,group_product_id,group_product_name,product_name,short_description,file_path,product_info,specification,sold_quantity,lifecare_price,power,weight,volume,group_name
36001,M&EGD000197,920,bếp từ,Bếp từ đôi AIO Smart,"• Bếp từ đôi AIO có thiết kế sang trọng rất phù hợp với các căn bếp có phong cách hiện đại. Sản phẩm sử dụng mặt kính cao cấp, chịu lực, chịu nhiệt tốt. Bếp được trang bị bảng điều khiển cảm ứng cùng những tính năng an toàn tiện lợi giúp bạn nấu nướng thuận tiện và nhanh chóng, tiết kiệm tối đa điện năng và thời gian.",https://allinonemobile.congtrinhviettel.com.vn/static//input/mobile_images/2024/7/1/799/BẾP TỪ ĐÔI AIOSMART AIO_AIOHB03U22B_4400.png,"• Bếp từ đôi AIO có thiết kế sang trọng rất phù hợp với các căn bếp có phong cách hiện đại. Sản phẩm sử dụng mặt kính cao cấp, chịu lực, chịu nhiệt tốt. Bếp được trang bị bảng điều khiển cảm ứng cùng những tính năng an toàn tiện lợi giúp bạn nấu nướng thuận tiện và nhanh chóng, tiết kiệm tối đa điện năng và thời gian.",• công suất: 4400w• trái: 2200w - phải: 2200w• chất liệu mặt bếp: kính vitro ceramic• bảng điều khiển: cảm ứng• loại nồi nấu: chỉ sử dụng loại nồi có đế nhiễm từ• bề mặt: 730mm x 430mm• độ cao: 75mm• điện áp: 220v-240vac• độ dài dây nguồn: 1.5m• đường kính vùng nấu: 190mm• khóa an toàn: có• hẹn giờ: có• tính năng chống tràn: có• tính năng nhận diện nồi: có,16,3872000,4400,0.0,0.0,bếp từ Bếp từ đôi AIO Smart
34281,M&EGD000198,920,bếp từ,Bộ nồi Inox sơn đỏ (3 cái/Bộ)-AIO Smart,"Bộ nồi Inox AIO Smart thiết kế sang trọng, chất liệu an toàn sức khỏe, với 3 kích thước nồi khác nhau hỗ trợ người dùng nấu đa dạng món ăn, xứng đáng có mặt trong mọi căn bếp gia đình.",https://allinonemobile.congtrinhviettel.com.vn/static//input/mobile_images/2024/7/1/762/bộ nồi.jpeg,"Bộ nồi Inox AIO Smart thiết kế sang trọng, chất liệu an toàn sức khỏe, với 3 kích thước nồi khác nhau hỗ trợ người dùng nấu đa dạng món ăn, xứng đáng có mặt trong mọi căn bếp gia đình.","chất liệu: inox 3041 bộ sản phẩm bao gồm: 3 cái (đường kính 18 cm, đường kính 20 cm, đường kính 24 cm)đáy nồi: 3 lớpvung nồi: chất liệu kínhcó tay cầm",8,811000,0,0.0,0.0,bếp từ Bộ nồi Inox sơn đỏ (3 cái/Bộ)-AIO Smart
44341,067003000001,920,bếp từ,Combo bếp từ đơn AIO Smart và nồi,"Thiết kế - Chất liệu mặt bếp - Thiết kế kiểu bếp từ đơn nhỏ gọn, dễ dàng sắp đặt ở nhiều vị trí trong phòng, có thể đặt trực tiếp trên bàn ăn để thưởng thức các món lẩu, cháo nóng hổi.- Mặt bếp làm từ kính Microcrystalline , sang trọng, có khả năng chịu lực tác động tốt, bề mặt dễ dàng lau chùi mà không tốn nhiều sức lực, thời gian.Tiện ích - 6 chế độ nấu cài đặt sẵn: súp, nấu nước, BBQ, chiên, lẩu, hấp, người dùng tùy chọn linh hoạt theo nhu cầu, công thức và nguyên liệu nấu ăn của mình.- Bếp từ AIO Smart có chức năng hẹn giờ cho phép bạn tùy chỉnh thời gian chế biến phù hợp với từng món ăn, để thức ăn chín ngon, chuẩn vị.  Tính năng an toàn- Khóa bảng điều khiển: khi kích hoạt sẽ vô hiệu hóa toàn bộ bảng điều khiển, ngăn người dùng thay đổi cài đặt trước đó và giúp tăng cường bảo vệ gia đình có trẻ nhỏ.- Tự ngắt khi bếp nóng quá tải.",https://allinonemobile.congtrinhviettel.com.vn/static//input/mobile_images/2024/7/6/982/BẾP TỪ ĐƠN AIO SMART (kèm nồi) AIOHB02S23B2100.png,"Thiết kế - Chất liệu mặt bếp - Thiết kế kiểu bếp từ đơn nhỏ gọn, dễ dàng sắp đặt ở nhiều vị trí trong phòng, có thể đặt trực tiếp trên bàn ăn để thưởng thức các món lẩu, cháo nóng hổi.- Mặt bếp làm từ kính Microcrystalline , sang trọng, có khả năng chịu lực tác động tốt, bề mặt dễ dàng lau chùi mà không tốn nhiều sức lực, thời gian.Tiện ích - 6 chế độ nấu cài đặt sẵn: súp, nấu nước, BBQ, chiên, lẩu, hấp, người dùng tùy chọn linh hoạt theo nhu cầu, công thức và nguyên liệu nấu ăn của mình.- Bếp từ AIO Smart có chức năng hẹn giờ cho phép bạn tùy chỉnh thời gian chế biến phù hợp với từng món ăn, để thức ăn chín ngon, chuẩn vị.  Tính năng an toàn- Khóa bảng điều khiển: khi kích hoạt sẽ vô hiệu hóa toàn bộ bảng điều khiển, ngăn người dùng thay đổi cài đặt trước đó và giúp tăng cường bảo vệ gia đình có trẻ nhỏ.- Tự ngắt khi bếp nóng quá tải.","công suất vùng nấu:2100w điện áp:187~242vac, 50/60hz kích thước vùng nấu:200mm kiểu lắp đặt:43mm kiểu lắp đặt:dương bảng điều khiển:cảm ứng chất liệu mặt bếp:kính microcrystalline (cường lực, chịu nhiệt) sản xuất tại:trung quốc năm ra mắt:2024 chế độ nấu tự động:ninh, hấp, đun nước, chiên, xào, lẩu loại nồi nấu:nồi inox đáy 1 lớp tiện ích:sẵn 6 chương trình nấu, hẹn giờ, nhận diện nồi, tạm dừng. tính năng an toàn:khóa phím, chống nhiễu điện tử, tự ngắt khi điện áp tăng giảm đột ngột quá ngưỡng tiêu chuẩn vnqcvn04 (an toàn điện), qcvn09 (bức xạ điện từ) chiều dài dây điện:2 mét kích thước sản phẩm360x290x43mm khối lượng sản phẩm:2,4kg",14,898000,2100,2.4,0.0,bếp từ Combo bếp từ đơn AIO Smart và nồi
