product_info_id,product_code,group_product_id,group_product_name,product_name,short_description,file_path,product_info,specification,sold_quantity,lifecare_price,power,weight,volume,group_name
29664,019001000014,921,điều hòa,Điều hòa Daikin 12000BTU 2 chiều Inverter - Dòng tiêu chuẩn - FTHF-VA - Model 2023,"1. Tiết kiệm điện:Công nghệ inverter giúp tiết kiệm điện năng hiệu quả, giảm chi phí tiền điện hàng tháng.Hiệu suất năng lượng đạt 5.1 (A+) cho chế độ làm lạnh và 4.6 (A) cho chế độ sưởi ấm.2. Làm lạnh nhanh & Sưởi ấm hiệu quả:Chế độ Powerful giúp làm lạnh nhanh chóng trong vòng 20 phút, mang đến bầu không khí mát lạnh tức thì.Chế độ Heat Boost giúp sưởi ấm nhanh chóng, mang đến bầu không khí ấm áp trong mùa đông.3. Luồng gió Coanda:Hướng luồng gió mát lạnh/ấm áp đi xa và đồng đều khắp phòng, tránh thổi trực tiếp vào người.Mang lại cảm giác thoải mái, dễ chịu cho mọi người trong phòng.4. Khử mùi hiệu quả:Phin lọc Enzyme Blue khử mùi, loại bỏ các tác nhân gây dị ứng và vi khuẩn.Công nghệ Streamer diệt khuẩn, khử mùi, ức chế nấm mốc, bảo vệ sức khỏe gia đình bạn.5. Hoạt động êm ái:Động cơ vận hành êm ái, tạo không gian yên tĩnh cho bạn thư giãn.Độ ồn thấp chỉ 24/19 dB(A) cho chế độ làm lạnh và 27/21 dB(A) cho chế độ sưởi ấm.6. Dễ dàng vệ sinh:Mặt nạ và phin lọc có thể tháo rời, dễ dàng vệ sinh.Giúp giữ cho máy lạnh luôn sạch sẽ và hoạt động hiệu quả.",https://allinonemobile.congtrinhviettel.com.vn/static//input/mobile_images/2024/2/23/922/Máy Giặt Aqua 9 Kg  AQW-F91GT.S (1).png,"1. Tiết kiệm điện:Công nghệ inverter giúp tiết kiệm điện năng hiệu quả, giảm chi phí tiền điện hàng tháng.Hiệu suất năng lượng đạt 5.1 (A+) cho chế độ làm lạnh và 4.6 (A) cho chế độ sưởi ấm.2. Làm lạnh nhanh & Sưởi ấm hiệu quả:Chế độ Powerful giúp làm lạnh nhanh chóng trong vòng 20 phút, mang đến bầu không khí mát lạnh tức thì.Chế độ Heat Boost giúp sưởi ấm nhanh chóng, mang đến bầu không khí ấm áp trong mùa đông.3. Luồng gió Coanda:Hướng luồng gió mát lạnh/ấm áp đi xa và đồng đều khắp phòng, tránh thổi trực tiếp vào người.Mang lại cảm giác thoải mái, dễ chịu cho mọi người trong phòng.4. Khử mùi hiệu quả:Phin lọc Enzyme Blue khử mùi, loại bỏ các tác nhân gây dị ứng và vi khuẩn.Công nghệ Streamer diệt khuẩn, khử mùi, ức chế nấm mốc, bảo vệ sức khỏe gia đình bạn.5. Hoạt động êm ái:Động cơ vận hành êm ái, tạo không gian yên tĩnh cho bạn thư giãn.Độ ồn thấp chỉ 24/19 dB(A) cho chế độ làm lạnh và 27/21 dB(A) cho chế độ sưởi ấm.6. Dễ dàng vệ sinh:Mặt nạ và phin lọc có thể tháo rời, dễ dàng vệ sinh.Giúp giữ cho máy lạnh luôn sạch sẽ và hoạt động hiệu quả.","loại: điều hòa 2 chiều inverter

công suất: 12.000 btu/h (1.5 hp)

diện tích sử dụng: 20 - 30m²

mức tiêu thụ điện:

làm lạnh: 585 (230 - 1.310) w/h
sưởi ấm: 700 (190 - 1.600) w/h
hiệu suất năng lượng:

làm lạnh: 6.11 (a**)
sưởi ấm: 5.08 (a)
gas: r32

chế độ inverter: có

công nghệ:

công nghệ inverter tiết kiệm điện
công nghệ luồng gió coanda
mắt thần thông minh
phin lọc apatit titan
chế độ powerful làm lạnh nhanh
chế độ vận hành khi ngủ
chức năng:

làm lạnh nhanh
sưởi ấm
lọc bụi mịn pm2.5
khử mùi
hẹn giờ
điều khiển từ xa
độ ồn:

dàn lạnh: 28/25 db(a)
dàn nóng: 49 db(a)
kích thước:

dàn lạnh: 285 x 770 x 223 mm
dàn nóng: 540 x 670 x 240 mm
trọng lượng:

dàn lạnh: 13 kg
dàn nóng: 26 kg",7,14851100,12,26.0,0.0,điều hòa Điều hòa Daikin 12000BTU 2 chiều Inverter - Dòng tiêu chuẩn - FTHF-VA - Model 2023
29665,019001000016,921,điều hòa,Điều hòa Daikin 18000BTU 2 chiều Inverter - Serie FTHF-VV - Dòng tiêu chuẩn - Model 2023,"1. Tiết kiệm điện:Công nghệ inverter giúp tiết kiệm điện năng hiệu quả, giảm chi phí tiền điện hàng tháng.Hiệu suất năng lượng đạt 5.1 (A+) cho chế độ làm lạnh và 4.6 (A) cho chế độ sưởi ấm.2. Làm lạnh nhanh & Sưởi ấm hiệu quả:Chế độ Powerful giúp làm lạnh nhanh chóng trong vòng 20 phút, mang đến bầu không khí mát lạnh tức thì.Chế độ Heat Boost giúp sưởi ấm nhanh chóng, mang đến bầu không khí ấm áp trong mùa đông.3. Luồng gió Coanda:Hướng luồng gió mát lạnh/ấm áp đi xa và đồng đều khắp phòng, tránh thổi trực tiếp vào người.Mang lại cảm giác thoải mái, dễ chịu cho mọi người trong phòng.4. Khử mùi hiệu quả:Phin lọc Enzyme Blue khử mùi, loại bỏ các tác nhân gây dị ứng và vi khuẩn.Công nghệ Streamer diệt khuẩn, khử mùi, ức chế nấm mốc, bảo vệ sức khỏe gia đình bạn.5. Hoạt động êm ái:Động cơ vận hành êm ái, tạo không gian yên tĩnh cho bạn thư giãn.Độ ồn thấp chỉ 24/19 dB(A) cho chế độ làm lạnh và 27/21 dB(A) cho chế độ sưởi ấm.6. Dễ dàng vệ sinh:Mặt nạ và phin lọc có thể tháo rời, dễ dàng vệ sinh.Giúp giữ cho máy lạnh luôn sạch sẽ và hoạt động hiệu quả.",https://allinonemobile.congtrinhviettel.com.vn/static//input/mobile_images/2024/2/23/109/Máy Giặt Aqua 9 Kg  AQW-F91GT.S (2).png,"1. Tiết kiệm điện:Công nghệ inverter giúp tiết kiệm điện năng hiệu quả, giảm chi phí tiền điện hàng tháng.Hiệu suất năng lượng đạt 5.1 (A+) cho chế độ làm lạnh và 4.6 (A) cho chế độ sưởi ấm.2. Làm lạnh nhanh & Sưởi ấm hiệu quả:Chế độ Powerful giúp làm lạnh nhanh chóng trong vòng 20 phút, mang đến bầu không khí mát lạnh tức thì.Chế độ Heat Boost giúp sưởi ấm nhanh chóng, mang đến bầu không khí ấm áp trong mùa đông.3. Luồng gió Coanda:Hướng luồng gió mát lạnh/ấm áp đi xa và đồng đều khắp phòng, tránh thổi trực tiếp vào người.Mang lại cảm giác thoải mái, dễ chịu cho mọi người trong phòng.4. Khử mùi hiệu quả:Phin lọc Enzyme Blue khử mùi, loại bỏ các tác nhân gây dị ứng và vi khuẩn.Công nghệ Streamer diệt khuẩn, khử mùi, ức chế nấm mốc, bảo vệ sức khỏe gia đình bạn.5. Hoạt động êm ái:Động cơ vận hành êm ái, tạo không gian yên tĩnh cho bạn thư giãn.Độ ồn thấp chỉ 24/19 dB(A) cho chế độ làm lạnh và 27/21 dB(A) cho chế độ sưởi ấm.6. Dễ dàng vệ sinh:Mặt nạ và phin lọc có thể tháo rời, dễ dàng vệ sinh.Giúp giữ cho máy lạnh luôn sạch sẽ và hoạt động hiệu quả.","loại: điều hòa 2 chiều inverter

công suất: 18.000 btu/h (2 hp)

diện tích sử dụng: 25 - 35m²

mức tiêu thụ điện:

làm lạnh: 665 (280 - 1.585) w/h
sưởi ấm: 810 (230 - 1.885) w/h
hiệu suất năng lượng:

làm lạnh: 6.00 (a**)
sưởi ấm: 4.92 (a)
gas: r32

chế độ inverter: có

công nghệ:

công nghệ inverter tiết kiệm điện
công nghệ luồng gió coanda
mắt thần thông minh
phin lọc apatit titan
chế độ powerful làm lạnh nhanh
chế độ vận hành khi ngủ
chức năng:

làm lạnh nhanh
sưởi ấm
lọc bụi mịn pm2.5
khử mùi
hẹn giờ
điều khiển từ xa
độ ồn:

dàn lạnh: 28/25 db(a)
dàn nóng: 48 db(a)
kích thước:

dàn lạnh: 295 x 990 x 263 mm
dàn nóng: 540 x 670 x 240 mm
trọng lượng:

dàn lạnh: 15 kg
dàn nóng: 28 kg",5,22292490,18,28.0,0.0,điều hòa Điều hòa Daikin 18000BTU 2 chiều Inverter - Serie FTHF-VV - Dòng tiêu chuẩn - Model 2023
29666,019013000004,921,điều hòa,Điều hòa MDV 1 chiều 12000 BTU - Model 2023,"Công nghệ Inverter: Tiết kiệm điện năng hiệu quả, giúp giảm chi phí tiền điện hàng tháng.Làm lạnh nhanh: Chế độ Powerful giúp làm lạnh nhanh chóng trong vòng 20 phút.Chế độ gió Coanda: Giúp luồng gió mát lạnh lan tỏa đều khắp phòng, tránh thổi trực tiếp vào người.Hoạt động êm ái: Động cơ vận hành êm ái, tạo không gian yên tĩnh cho bạn thư giãn.Dễ dàng vệ sinh: Mặt nạ và phin lọc có thể tháo rời, dễ dàng vệ sinh.",https://allinonemobile.congtrinhviettel.com.vn/static//input/mobile_images/2024/2/23/380/Máy Giặt Aqua 9 Kg  AQW-F91GT.S.png,"Công nghệ Inverter: Tiết kiệm điện năng hiệu quả, giúp giảm chi phí tiền điện hàng tháng.Làm lạnh nhanh: Chế độ Powerful giúp làm lạnh nhanh chóng trong vòng 20 phút.Chế độ gió Coanda: Giúp luồng gió mát lạnh lan tỏa đều khắp phòng, tránh thổi trực tiếp vào người.Hoạt động êm ái: Động cơ vận hành êm ái, tạo không gian yên tĩnh cho bạn thư giãn.Dễ dàng vệ sinh: Mặt nạ và phin lọc có thể tháo rời, dễ dàng vệ sinh.","model: mdvg-13crdn8
công suất: 12.000 btu/h
loại: 1 chiều inverter
diện tích sử dụng: 15 - 20m²
gas: r32
mức tiêu thụ điện: 1.15 kw/h
độ ồn: 22/19 db(a)
kích thước dàn lạnh: 810 x 285 x 210 mm
kích thước dàn nóng: 770 x 285 x 540 mm
trọng lượng dàn lạnh: 14 kg
trọng lượng dàn nóng: 25 kg",6,6433000,12,25.0,0.0,điều hòa Điều hòa MDV 1 chiều 12000 BTU - Model 2023
29667,019013000003,921,điều hòa,Điều hòa MDV 1 chiều Inverter 18000 BTU - Model 2023,"Công nghệ Inverter: Tiết kiệm điện năng hiệu quả, giúp giảm chi phí tiền điện hàng tháng.Làm lạnh nhanh: Chế độ Powerful giúp làm lạnh nhanh chóng trong vòng 20 phút.Chế độ gió Coanda: Giúp luồng gió mát lạnh lan tỏa đều khắp phòng, tránh thổi trực tiếp vào người.Hoạt động êm ái: Động cơ vận hành êm ái, tạo không gian yên tĩnh cho bạn thư giãn.Dễ dàng vệ sinh: Mặt nạ và phin lọc có thể tháo rời, dễ dàng vệ sinh.",https://allinonemobile.congtrinhviettel.com.vn/static//input/mobile_images/2024/2/23/367/Máy Giặt Aqua 9 Kg  AQW-F91GT.S (2).png,"Công nghệ Inverter: Tiết kiệm điện năng hiệu quả, giúp giảm chi phí tiền điện hàng tháng.Làm lạnh nhanh: Chế độ Powerful giúp làm lạnh nhanh chóng trong vòng 20 phút.Chế độ gió Coanda: Giúp luồng gió mát lạnh lan tỏa đều khắp phòng, tránh thổi trực tiếp vào người.Hoạt động êm ái: Động cơ vận hành êm ái, tạo không gian yên tĩnh cho bạn thư giãn.Dễ dàng vệ sinh: Mặt nạ và phin lọc có thể tháo rời, dễ dàng vệ sinh.","model: mdvg-18crdn8
công suất: 18.000 btu/h
loại: 1 chiều inverter
diện tích sử dụng: 20 - 30m²
gas: r32
mức tiêu thụ điện: 1.65 kw/h
độ ồn: 22/19 db(a)
kích thước dàn lạnh: 969 x 320 x 241 mm
kích thước dàn nóng: 770 x 285 x 540 mm
trọng lượng dàn lạnh: 18 kg
trọng lượng dàn nóng: 28 kg",5,10423000,18,28.0,0.0,điều hòa Điều hòa MDV 1 chiều Inverter 18000 BTU - Model 2023
29221,019013000001,921,điều hòa,Điều hòa MDV - Inverter 9000 BTU,"Điều hòa MDV 9000btu 1 chiều MDVG-10CRDN8 được trang bị công nghệ Quattro inverter không chỉ đem lại khả năng vận hành êm ái mà còn giúp tiết kiệm điện năng trong quá trình sử dụng. Ngoài ra, công nghệ này còn cho phép máy nén quay với tần số cực đại trong 6s, giúp máy lạnh có hiệu quả làm lạnh nhanh và tốt hơn.Khi kích hoạt chế độ này sẽ giúp điều hòa MDV inverter 1 chiều 9000btu MDVG-10CRDN8 sẽ tự động giảm 2 độ C để tiết kiệm năng lượng và duy trì nhiệt độ cho căn phòng. Với chế độ này, máy sẽ tiêu thụ trung bình thấp chỉ 0.755 kW/h.Điều hòa MDV 9000btu MDVG-10CRDN8 được trang bị hệ thống lọc kép giúp loại bỏ triệt để các loại bụi bẩn có trong không khí, mang lại cho bạn bầu không khí trong lành và sạch sẽ. Dàn trao đổi nhiệt của điều hòa MDV giá rẻ MDVG-10CRDN8 gồm ống dẫn bằng đồng – lá tản nhiệt bằng nhôm được phủ lớp mạ vàng không chỉ giúp vận hành hiệu quả mà còn giúp tăng cường tuổi thọ sử dụng nhờ khả năng chống oxy hoá tối ưu.Điều hòa MDV inverter 9000 1 chiều MDVG-10CRDN8 sử dụng môi chất làm lạnh thế hệ mới Gas R32 mang đến khả năng làm lạnh tối ưu hơn, cùng với đó là sự an toàn và thân thiện với môi trường.",https://allinonemobile.congtrinhviettel.com.vn/static//input/mobile_images/2024/2/21/229/Điều hòa MDVG-1Inverter 9000 BTU (3).png,"Điều hòa MDV 9000btu 1 chiều MDVG-10CRDN8 được trang bị công nghệ Quattro inverter không chỉ đem lại khả năng vận hành êm ái mà còn giúp tiết kiệm điện năng trong quá trình sử dụng. Ngoài ra, công nghệ này còn cho phép máy nén quay với tần số cực đại trong 6s, giúp máy lạnh có hiệu quả làm lạnh nhanh và tốt hơn.Khi kích hoạt chế độ này sẽ giúp điều hòa MDV inverter 1 chiều 9000btu MDVG-10CRDN8 sẽ tự động giảm 2 độ C để tiết kiệm năng lượng và duy trì nhiệt độ cho căn phòng. Với chế độ này, máy sẽ tiêu thụ trung bình thấp chỉ 0.755 kW/h.Điều hòa MDV 9000btu MDVG-10CRDN8 được trang bị hệ thống lọc kép giúp loại bỏ triệt để các loại bụi bẩn có trong không khí, mang lại cho bạn bầu không khí trong lành và sạch sẽ. Dàn trao đổi nhiệt của điều hòa MDV giá rẻ MDVG-10CRDN8 gồm ống dẫn bằng đồng – lá tản nhiệt bằng nhôm được phủ lớp mạ vàng không chỉ giúp vận hành hiệu quả mà còn giúp tăng cường tuổi thọ sử dụng nhờ khả năng chống oxy hoá tối ưu.Điều hòa MDV inverter 9000 1 chiều MDVG-10CRDN8 sử dụng môi chất làm lạnh thế hệ mới Gas R32 mang đến khả năng làm lạnh tối ưu hơn, cùng với đó là sự an toàn và thân thiện với môi trường.","nguồn điện: 220-240v
công suất: 9500 btu/h
công suất tiêu thụ: 745 w
cường độ dòng điện: 3.4 a
err: 3.54 w/w
inverter : có
kích thước máy trong ( dxrxc): 726x210x291 (mm)
khối lượng thực máy trong/ khối lượng đóng gói: 8.2/10.3 kg
kích thước máy ngoài (dxrxc): 835x300x540 (mm)
khối lương thực máy ngoài / khối lượng đóng gói: 21.7/23.2 kg
loại gas/ khối lượng nạp: r32/0.38
ap suất thiết kế: 4.3/1.7 mpa
chiều dài đường ống tối đa: 25m
chênh lệch độ cao tối đa: 10m
phạm vi lành lạnh hiệu quả : 12~18 m2
hiệu suất năng lượng : 4.48 cspf
bảo hành 3 năm cho sản phẩm
bảo hành 5 năm cho máy nén
suất xứ : thái lan",5,5340000,9500,0.0,0.0,điều hòa Điều hòa MDV - Inverter 9000 BTU
