product_info_id,product_code,group_product_id,group_product_name,product_name,short_description,file_path,product_info,specification,lifecare_price,power,weight,volume,group_name
24682,M&EGD000244,6665,nồi cơm điện,Nồi cơm điện AIO Smart AIORCO3L23G/4CO,"Nồi cơm điện cao tần kiểu dáng đơn giản, chắc chắn tạo nên nét sang trọng riêng của một nồi cơm điện tử. Bảng điều khiển cảm ứng hiện đại, dễ quan sát và thao tác<br/><br/>Nồi cơm điện có khả năng hẹn giờ đến 24 tiếng,có chức năng giữ ấm, cho phép người dùng có thể sử dụng bất kỳ lúc nào mà vẫn đảm bảo món nấu còn đủ nhiệt lượng, ấm nóng thơm ngon khi thưởng thức.<br/><br/>Lòng nồi hợp kim nhôm phủ lớp phủ chống dính  bền bỉ, an toàn, hạn chế dính cháy, dễ vệ sinh, nấu cơm chín đều, thơm ngon.",https://allinonemobile.congtrinhviettel.com.vn/static//input/mobile_images/2024/7/1/305/NỒI CƠM ĐIỆN AIOSMART AIORC03L23G_4C0.png,"Nồi cơm điện cao tần kiểu dáng đơn giản, chắc chắn tạo nên nét sang trọng riêng của một nồi cơm điện tử. Bảng điều khiển cảm ứng hiện đại, dễ quan sát và thao tác<br/><br/>Nồi cơm điện có khả năng hẹn giờ đến 24 tiếng,có chức năng giữ ấm, cho phép người dùng có thể sử dụng bất kỳ lúc nào mà vẫn đảm bảo món nấu còn đủ nhiệt lượng, ấm nóng thơm ngon khi thưởng thức.<br/><br/>Lòng nồi hợp kim nhôm phủ lớp phủ chống dính  bền bỉ, an toàn, hạn chế dính cháy, dễ vệ sinh, nấu cơm chín đều, thơm ngon.","công nghệ: cao tần/từ
công suất (danh định): 1300w
nguồn định mức: 220vac - 50/60hz
dung tích: 4.0l
chất liệu lòng nồi: hợp kim nhôm phủ chống dính
độ dày lòng nồi: 1.5mm
chức năng: giữ ấm, hâm nóng, nấu nhanh, nấu cháo, nấu súp, hấp, làm bánh
màn hình led hiển thị thời gian
ngôn ngữ : tiếng việt
kích thước sản phẩm (dxrxc): 344x271x218 mm
khối lượng sản phẩm: 4.75 kg
bào hành : 12 tháng
kích hoạt bảo hành điện tử",2373000,1300,4.75,4.0,nồi cơm điện Nồi cơm điện AIO Smart AIORCO3L23G/4CO
30981,M&ENC100020,6665,nồi cơm điện,Nồi Cơm Điện Cao Tần Bluestone Rcb- 5991,"Nồi cơm điện tử cao tần Bluestone RCB-5991 sở hữu thiết kế hiện đại, nhỏ gọn, thích hợp với nhiều kiểu không gian bếp khác nhau. Sản phẩm có xám thanh lịch, tạo điểm nhấn hoàn hảo cho khu vực nấu nướng của gia đình bạn.<br/>Công nghệ nấu IH ( Induction Heating) trong nồi cơm điện cao tần, sử dụng cảm ứng từ bao quanh lòng nồi để làm nóng và nấu chín cơm. Công nghệ này giúp cơm được nấu chín đều, dẻo và giữ trọn chất dinh dưỡng có trong hạt gạo.",https://allinonemobile.congtrinhviettel.com.vn/static//input/mobile_images/2024/7/11/354/NỒI CƠM ĐIỆN CAO TẦN BLUESTONE RCB- 5991.png,"Nồi cơm điện tử cao tần Bluestone RCB-5991 sở hữu thiết kế hiện đại, nhỏ gọn, thích hợp với nhiều kiểu không gian bếp khác nhau. Sản phẩm có xám thanh lịch, tạo điểm nhấn hoàn hảo cho khu vực nấu nướng của gia đình bạn.<br/>Công nghệ nấu IH ( Induction Heating) trong nồi cơm điện cao tần, sử dụng cảm ứng từ bao quanh lòng nồi để làm nóng và nấu chín cơm. Công nghệ này giúp cơm được nấu chín đều, dẻo và giữ trọn chất dinh dưỡng có trong hạt gạo.","công suất : 1200w
dung tích : 1.5 lít
công nghệ nấu ih
9 chế độ nấu cài đặt sẵn tiện dụng
bảng điều khiển cảm ứng thông minh
lòng nồi niêu, dày 1.8mm phủ lớp chống dính",3465000,1200,0.0,1.5,nồi cơm điện Nồi Cơm Điện Cao Tần Bluestone Rcb- 5991
