product_info_id,product_code,group_product_id,group_product_name,product_name,short_description,file_path,product_info,specification,lifecare_price,power,weight,volume,group_name
20641,M&EAS100002,6664,nồi áp suất,"Nồi Áp Suất Bluestone PCB-5648 4,5 lít 900W","• Nồi áp suất dung tích 4.5 lít phù hợp với gia đình ít người.<br/><br/>• Công suất 900W làm nóng nhanh, đun nấu nhanh chóng.<br/><br/>• Lòng nồi làm bằng hợp kim nhôm chống dính, dễ vệ sinh.<br/><br/>• Thân nồi Bluestone bằng hợp kim nhôm phủ sơn tĩnh điện.<br/><br/>• Bảng điều khiển cơ có màn hình hiển thị đơn giản, dễ sử dụng.<br/><br/>• Tính năng giữ ấm tự động sau khi kết thúc chương trình nấu.<br/><br/>• Van xả tự động, giảm áp đảm bảo an toàn cho người dùng.",https://allinonemobile.congtrinhviettel.com.vn/static//input/mobile_images/2024/8/28/929/NỒI ÁP SUẤT BLUESTONE PCB-5648.png,"• Nồi áp suất dung tích 4.5 lít phù hợp với gia đình ít người.<br/><br/>• Công suất 900W làm nóng nhanh, đun nấu nhanh chóng.<br/><br/>• Lòng nồi làm bằng hợp kim nhôm chống dính, dễ vệ sinh.<br/><br/>• Thân nồi Bluestone bằng hợp kim nhôm phủ sơn tĩnh điện.<br/><br/>• Bảng điều khiển cơ có màn hình hiển thị đơn giản, dễ sử dụng.<br/><br/>• Tính năng giữ ấm tự động sau khi kết thúc chương trình nấu.<br/><br/>• Van xả tự động, giảm áp đảm bảo an toàn cho người dùng.","• công suất: 900w
• dung tích: 4.5 lít
• chế độ nấu cài đặt sẵn: 13 chế độ
• chất liệu vỏ ngoài: hợp kim phủ sơn tĩnh điện
• chất liệu lòng nồi: lòng nồi hợp kim nhôm chống dính
• chức năng khác: nút ấn xả và van xả tự động, bảng điều khiển núm vặn, tính năng giữ ấm tự động sau khi kết thúc chương trình nấu
• khối lượng sản phẩm: 5kg
• màu sắc: vàng đồng
• nhà sản xuất: bluestone",1056000,900,5.0,4.5,"nồi áp suất Nồi Áp Suất Bluestone PCB-5648 4,5 lít 900W"
25021,M&EGD000159,6664,nồi áp suất,Nồi áp suất điện KALITE KL-636 6 lít,"• Nồi áp suất điện đa năng Kalite KL636 là thế hệ nồi áp suất điện thông minh khắc phục mọi nhược điểm của các loại nồi truyền thống, mang đến cho bạn trải nghiệm nấu nướng tuyệt vời. Chiếc nồi đa năng có thể thay thế 5 loại thiết bị nhà bếp với hơn 10 tính năng chế biến chuyên sâu được lập trình sẵn, đảm bảo sự tiện ích, an toàn khi sử dụng. Ngoài ra, nồi còn trang bị thêm nắp kính, biến đổi linh hoạt trong quá trình nấu. Nấu ăn ngon, tiết kiệm thời gian, năng lượng, không bám mùi.<br/><br/>• Nồi áp suất đa chức năng. Nồi áp suất điện Kalite KL – 636 được thiết kế với bảng điều khiển lập trình sẵn hơn 10 chế độ nấu dành cho các món hàng ngày như: nấu súp, nấu cơm, nấu gạo lứt và ngũ cốc, nấu đậu, nấu yến mạch, nấu thịt gia cầm, làm sữa chua,…Bên cạnh đó, nồi sở hữu 4 tính năng giúp điều chỉnh về: Áp suất, thời gian, hẹn giờ, giữ ấm tạo sự tiện lợi cho người dùng trong quá trình nấu.<br/><br/>• Thay thế 5 loại thiết bị nhà bếp khác nhau. Sở hữu nhiều tính năng chuyên sâu, đa dạng trong các chế độ nấu, nồi áp suất điện Kalite KL636 có thể thay thế hoàn toàn 5 thiết bị nhà bếp khác nhau như: Nồi cơm điện, nồi áp suất truyền thống, nồi lẩu, chảo rán, nồi niêu. Chiếc nồi hiện đại, đa chức năng sẽ giúp bạn tiết kiệm kinh tế khi trang bị nhiều loại thiết bị khác nhau. Và thêm vào đó là tiết kiệm rất nhiều không bếp cho gia đình.<br/><br/>• Lòng nồi phủ chống dính Teflon cao cấp, an toàn cho sức khỏe. Lòng nồi có cấu tạo 3 lớp, phủ chống dính Teflon cao cấp không chỉ an toàn cho sức khỏe mà còn chống có khả năng chống xước, chống bám dầu mỡ, giúp dễ dàng vệ sinh và có tính bền bỉ cao, chống móp méo.<br/><br/>• Dung tích lớn. Nồi có dung tích lớn lên tới 6L, phù hợp cho những gia đình từ 4 - 6 người.<br/><br/>• Tích hợp hệ thống khóa an toàn tại phần nắp. Nồi áp suất điện Kalite KL636 có tính năng an toàn tích hợp ngăn không cho tất cả các chức năng kích hoạt nếu nắp không được khóa đúng vị trí.",https://allinonemobile.congtrinhviettel.com.vn/static//input/mobile_images/2024/7/11/748/Nồi áp suất đa năng Kalite KL-636.png,"• Nồi áp suất điện đa năng Kalite KL636 là thế hệ nồi áp suất điện thông minh khắc phục mọi nhược điểm của các loại nồi truyền thống, mang đến cho bạn trải nghiệm nấu nướng tuyệt vời. Chiếc nồi đa năng có thể thay thế 5 loại thiết bị nhà bếp với hơn 10 tính năng chế biến chuyên sâu được lập trình sẵn, đảm bảo sự tiện ích, an toàn khi sử dụng. Ngoài ra, nồi còn trang bị thêm nắp kính, biến đổi linh hoạt trong quá trình nấu. Nấu ăn ngon, tiết kiệm thời gian, năng lượng, không bám mùi.<br/><br/>• Nồi áp suất đa chức năng. Nồi áp suất điện Kalite KL – 636 được thiết kế với bảng điều khiển lập trình sẵn hơn 10 chế độ nấu dành cho các món hàng ngày như: nấu súp, nấu cơm, nấu gạo lứt và ngũ cốc, nấu đậu, nấu yến mạch, nấu thịt gia cầm, làm sữa chua,…Bên cạnh đó, nồi sở hữu 4 tính năng giúp điều chỉnh về: Áp suất, thời gian, hẹn giờ, giữ ấm tạo sự tiện lợi cho người dùng trong quá trình nấu.<br/><br/>• Thay thế 5 loại thiết bị nhà bếp khác nhau. Sở hữu nhiều tính năng chuyên sâu, đa dạng trong các chế độ nấu, nồi áp suất điện Kalite KL636 có thể thay thế hoàn toàn 5 thiết bị nhà bếp khác nhau như: Nồi cơm điện, nồi áp suất truyền thống, nồi lẩu, chảo rán, nồi niêu. Chiếc nồi hiện đại, đa chức năng sẽ giúp bạn tiết kiệm kinh tế khi trang bị nhiều loại thiết bị khác nhau. Và thêm vào đó là tiết kiệm rất nhiều không bếp cho gia đình.<br/><br/>• Lòng nồi phủ chống dính Teflon cao cấp, an toàn cho sức khỏe. Lòng nồi có cấu tạo 3 lớp, phủ chống dính Teflon cao cấp không chỉ an toàn cho sức khỏe mà còn chống có khả năng chống xước, chống bám dầu mỡ, giúp dễ dàng vệ sinh và có tính bền bỉ cao, chống móp méo.<br/><br/>• Dung tích lớn. Nồi có dung tích lớn lên tới 6L, phù hợp cho những gia đình từ 4 - 6 người.<br/><br/>• Tích hợp hệ thống khóa an toàn tại phần nắp. Nồi áp suất điện Kalite KL636 có tính năng an toàn tích hợp ngăn không cho tất cả các chức năng kích hoạt nếu nắp không được khóa đúng vị trí.","• thương hiệu: kalite
• màu sắc: trắng và đen
• chất liệu: inox
• dung tích: 6l
• điện áp: 220v/50hz
• công suất: 1000w
• bảng điều khiển: song ngữ tiếng việt + tiếng anh, điều khiển bằng nút điện tử",1681000,1000,0.0,6.0,nồi áp suất Nồi áp suất điện KALITE KL-636 6 lít
24681,M&EGD000243,6664,nồi áp suất,Nồi áp suất AIO Smart AIOPTO3L23S/6CO,"Công suất hoạt động lên đến 1350W mạnh mẽ, nấu nhanh, tiết kiệm thời gian.  Dung tích 6 lít, nấu được gà nguyên con khoảng 1 - 1.2 kg cho gia đình. <br/>Bảng điều khiển nút nhấn có màn hình hiển thị, dễ dàng tuỳ chỉnh và quan sát chức năng. Nồi có nhiều chương trình cài đặt sẵn rất tiện lợi, hỗ trợ người dùng nấu ăn nhanh chóng. <br/> Lòng nồi được thiết kế dày bền, giúp lượng nhiệt tỏa đều lòng nồi, nấu thức ăn chín mềm từ trong ra ngoài.<br/>Van xả áp tự động, đảm bảo an toàn, giúp người dùng yên tâm sử dụng. Nắp nồi không mở ra được khi bên trong còn áp suất cao.",https://allinonemobile.congtrinhviettel.com.vn/static//input/mobile_images/2024/7/1/428/NỒI ÁP SUẤT.png,"Công suất hoạt động lên đến 1350W mạnh mẽ, nấu nhanh, tiết kiệm thời gian.  Dung tích 6 lít, nấu được gà nguyên con khoảng 1 - 1.2 kg cho gia đình. <br/>Bảng điều khiển nút nhấn có màn hình hiển thị, dễ dàng tuỳ chỉnh và quan sát chức năng. Nồi có nhiều chương trình cài đặt sẵn rất tiện lợi, hỗ trợ người dùng nấu ăn nhanh chóng. <br/> Lòng nồi được thiết kế dày bền, giúp lượng nhiệt tỏa đều lòng nồi, nấu thức ăn chín mềm từ trong ra ngoài.<br/>Van xả áp tự động, đảm bảo an toàn, giúp người dùng yên tâm sử dụng. Nắp nồi không mở ra được khi bên trong còn áp suất cao.","công suất: 1350w
nguồn định mức: 220vac - 50/60hz
áp suất hoạt động: 80kpa
dung tích: 6.0l
chất liệu lòng nồi: hợp kim nhôm phủ chống dính
kích thước lòng nồi: đường kính 240mm, dày 2.0mm
chức năng : hâm nóng, giữ ấm, nấu chậm, nấu sốt đặc, xào, hầm, làm sữa chua
van an toàn: 1 van chính, 1 van phụ
van xả áp tự động
tự ngắt khi quá nhiệt
tự làm sạch nồi
tự động giữ ấm sau khi nấu
chế độ hẹn giờ
điều chỉnh nhiệt độ
màn hình led hiển thị nhiệt độ, thời gian
ngôn ngữ : tiếng việt
kích thước sản phẩm (dxrxc): 359.5x367x299 mm
khối lượng sản phẩm: 7.1 kg
thời gian bảo hành: 12 tháng
kích hoạt bảo hành điện tử: có",2373000,1350,7.1,6.0,nồi áp suất Nồi áp suất AIO Smart AIOPTO3L23S/6CO
30881,M&EAS100003,6664,nồi áp suất,Nồi Áp Suất Bluestone Pcb-5748,"Dung tích 5L, Nồi áp suất có bảng điều khiển điện tử, màn hình hiển thị rõ ràng, tiện dụng.<br/>12 chức năng nấu tự động như nấu gân, hầm thịt, nấu cơm, nấu cháo…<br/>Lòng nồi bằng hợp kim nhôm phủ chống dính Ceramic bền bỉ, sáng đẹp.<br/>Nhãn hàng nổi tiếng Singapore - Bluestone, mẫu mã đẹp, sáng, dùng tốt.",https://allinonemobile.congtrinhviettel.com.vn/static//input/mobile_images/2024/7/11/394/NỒI ÁP SUẤT BLUESTONE PCB-5748.png,"Dung tích 5L, Nồi áp suất có bảng điều khiển điện tử, màn hình hiển thị rõ ràng, tiện dụng.<br/>12 chức năng nấu tự động như nấu gân, hầm thịt, nấu cơm, nấu cháo…<br/>Lòng nồi bằng hợp kim nhôm phủ chống dính Ceramic bền bỉ, sáng đẹp.<br/>Nhãn hàng nổi tiếng Singapore - Bluestone, mẫu mã đẹp, sáng, dùng tốt.","thương hiệu	bluestone
mã sản phẩm	pcb-5748
loại nồi áp suất	
nồi áp suất điện
dung tích thực	
5l
công suất	
900w
chất liệu nồi	
vỏ ngoài thép sơn tĩnh điện
lòng nồi hợp kim nhôm chống dính
bảng điều khiển	
nút nhấn có màn hình hiển thị
chức năng chính	
hầm thịt
nấu gân
nấu đậu
giữ ấm
hầm xương",1056000,900,0.0,5.0,nồi áp suất Nồi Áp Suất Bluestone Pcb-5748
